Gene Symbol,Description,Category,Uniprot ID,Gifts,GC Id,Relevance score, GeneCards Link
"AP4E1","Adaptor Related Protein Complex 4 Subunit Epsilon 1","Protein Coding","Q9UPM8","48","GC15P193088","43.8340873718262","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AP4E1"
"STUT3","Stuttering, Familial Persistent, 3","Genetic Locus","","4","GC03U901888","29.5525188446045","https://www.genecards.org/cgi-bin/carddisp.pl?gene=STUT3"
"STUT4","Stuttering, Familial Persistent, 4","Genetic Locus","","4","GC16U901417","29.5525188446045","https://www.genecards.org/cgi-bin/carddisp.pl?gene=STUT4"
"NAGPA","N-Acetylglucosamine-1-Phosphodiester Alpha-N-Acetylglucosaminidase","Protein Coding","Q9UK23","48","GC16M050049","17.4817333221436","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NAGPA"
"STUT2","Stuttering, Familial Persistent 2","Genetic Locus","","4","GC12U900756","16.57666015625","https://www.genecards.org/cgi-bin/carddisp.pl?gene=STUT2"
"GNPTAB","N-Acetylglucosamine-1-Phosphate Transferase Subunits Alpha And Beta","Protein Coding","Q3T906","54","GC12M101745","13.6416959762573","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GNPTAB"
"GNPTG","N-Acetylglucosamine-1-Phosphate Transferase Subunit Gamma","Protein Coding","Q9UJJ9","48","GC16P001351","12.3378782272339","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GNPTG"
"CHD3","Chromodomain Helicase DNA Binding Protein 3","Protein Coding","Q12873","56","GC17P153769","11.8457202911377","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CHD3"
"DRD2","Dopamine Receptor D2","Protein Coding","P14416","62","GC11M113409","10.1438808441162","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DRD2"
"SLC6A3","Solute Carrier Family 6 Member 3","Protein Coding","Q01959","63","GC05M001392","9.71226978302002","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC6A3"
"ARMC3","Armadillo Repeat Containing 3","Protein Coding","Q5W041","44","GC10P022928","9.5717077255249","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ARMC3"
"HEXB","Hexosaminidase Subunit Beta","Protein Coding","P07686","60","GC05P074640","9.11646270751953","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HEXB"
"KANSL1","KAT8 Regulatory NSL Complex Subunit 1","Protein Coding","Q7Z3B3","52","GC17M097370","8.42587471008301","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KANSL1"
"CNTNAP2","Contactin Associated Protein 2","Protein Coding","Q9UHC6","58","GC07P146116","8.18932247161865","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CNTNAP2"
