Gene Symbol	Description	Category	Uniprot ID	Gifts	GC Id	Relevance score	 GeneCards Link	ADHD_gene	autism_gene	parkinsons_gene	stuttering_gene	tic_gene
A2M	Alpha-2-Macroglobulin	Protein Coding	P01023	59	GC12M009067	5.62537240982056	https://www.genecards.org/cgi-bin/carddisp.pl?gene=A2M	False	True	True	False	False
A2ML1	Alpha-2-Macroglobulin Like 1	Protein Coding	A8K2U0	51	GC12P008822	7.03312826156616	https://www.genecards.org/cgi-bin/carddisp.pl?gene=A2ML1	True	True	False	False	False
A3GALT2	Alpha 1,3-Galactosyltransferase 2	Protein Coding	U3KPV4	31	GC01M033306	1.62736713886261	https://www.genecards.org/cgi-bin/carddisp.pl?gene=A3GALT2	True	False	False	False	False
A4GALT	Alpha 1,4-Galactosyltransferase (P1PK Blood Group)	Protein Coding	Q9NPC4	54	GC22M042692	0.764863669872284	https://www.genecards.org/cgi-bin/carddisp.pl?gene=A4GALT	False	True	False	False	False
AAAS	Aladin WD Repeat Nucleoporin	Protein Coding	Q9NRG9	51	GC12M053307	14.0799808502197	https://www.genecards.org/cgi-bin/carddisp.pl?gene=AAAS	True	True	True	False	False
AACSP1	Acetoacetyl-CoA Synthetase Pseudogene 1	Pseudogene		13	GC05M178764	0.480546861886978	https://www.genecards.org/cgi-bin/carddisp.pl?gene=AACSP1	False	True	False	False	False
AADAC	Arylacetamide Deacetylase	Protein Coding	P22760	54	GC03P151813	2.62477087974548	https://www.genecards.org/cgi-bin/carddisp.pl?gene=AADAC	True	False	False	False	True
AADAT	Aminoadipate Aminotransferase	Protein Coding	Q8N5Z0	52	GC04M170060	0.175817310810089	https://www.genecards.org/cgi-bin/carddisp.pl?gene=AADAT	False	True	True	False	True
AAGAB	Alpha And Gamma Adaptin Binding Protein	Protein Coding	Q6PD74	50	GC15M067200	0.379151344299316	https://www.genecards.org/cgi-bin/carddisp.pl?gene=AAGAB	False	True	False	False	False
AAK1	AP2 Associated Kinase 1	Protein Coding	Q2M2I8	54	GC02M069459	0.175817310810089	https://www.genecards.org/cgi-bin/carddisp.pl?gene=AAK1	False	False	True	False	False
AAMP	Angio Associated Migratory Cell Protein	Protein Coding	Q13685	49	GC02M218264	0.379151344299316	https://www.genecards.org/cgi-bin/carddisp.pl?gene=AAMP	False	True	False	False	False
AANAT	Aralkylamine N-Acetyltransferase	Protein Coding	Q16613	52	GC17P076453	0.175817310810089	https://www.genecards.org/cgi-bin/carddisp.pl?gene=AANAT	True	True	True	False	False
AARS1	Alanyl-TRNA Synthetase 1	Protein Coding	P49588	56	GC16M075123	1.00262856483459	https://www.genecards.org/cgi-bin/carddisp.pl?gene=AARS1	True	True	True	False	False
AARS2	Alanyl-TRNA Synthetase 2, Mitochondrial	Protein Coding	Q5JTZ9	57	GC06M106778	7.56008958816528	https://www.genecards.org/cgi-bin/carddisp.pl?gene=AARS2	True	True	False	True	False
